internship_id,title,company,description,required_skills,preferred_skills,location,duration,stipend,min_cgpa,experience_required,domain
INT001,Frontend Developer,DigitalForce,Exciting internship opportunity for Machine Learning Engineer at Tech Corp. Work on cutting-edge projects and gain valuable industry experience.,"['TensorFlow', 'Agile', 'Project Management']",['Flask'],Delhi,2 months,5000,7.0,Advanced,Electronics
INT002,Backend Developer,AI Solutions,Exciting internship opportunity for DevOps Engineer at DataFlow Inc. Work on cutting-edge projects and gain valuable industry experience.,"['Problem Solving', 'Computer Vision', 'Java', 'Graphic Design', 'MongoDB']",['Teamwork'],Delhi,2 months,10000,7.5,Intermediate,Information Technology
INT003,Data Scientist,Tech Corp,Exciting internship opportunity for Data Scientist at InnovateX. Work on cutting-edge projects and gain valuable industry experience.,"['Communication', 'PyTorch', 'Scrum']",['Leadership'],Chennai,2 months,12000,6.0,Intermediate,Any
INT004,Data Scientist,DigitalForce,Exciting internship opportunity for Software Developer at StartupHub. Work on cutting-edge projects and gain valuable industry experience.,"['GCP', 'MongoDB', 'Project Management']","['TensorFlow', 'C++']",Bangalore,2 months,8000,8.0,Intermediate,Information Technology
INT005,Backend Developer,InnovateX,Exciting internship opportunity for Frontend Developer at WebCraft. Work on cutting-edge projects and gain valuable industry experience.,"['SQL', 'Matplotlib', 'Flask', 'Graphic Design', 'Content Writing', 'Leadership']",['Adobe Creative Suite'],Bangalore,6 months,8000,8.0,Intermediate,Information Technology
INT006,Full Stack Developer,DigitalForce,Exciting internship opportunity for Data Scientist at DataFlow Inc. Work on cutting-edge projects and gain valuable industry experience.,"['Python', 'Communication', 'Problem Solving', 'Critical Thinking', 'GCP']",['Content Writing'],Delhi,6 months,5000,7.5,Advanced,Any
INT007,Software Developer,WebCraft,Exciting internship opportunity for Full Stack Developer at InnovateX. Work on cutting-edge projects and gain valuable industry experience.,"['Git', 'CSS']","['Figma', 'PyTorch']",Mumbai,6 months,20000,6.5,Intermediate,Any
INT008,Machine Learning Engineer,DataFlow Inc,Exciting internship opportunity for Machine Learning Engineer at AI Solutions. Work on cutting-edge projects and gain valuable industry experience.,"['SQL', 'CSS', 'Figma', 'Artificial Intelligence']","['Git', 'JavaScript']",Remote,2 months,20000,7.0,Advanced,Data Science
INT009,DevOps Engineer,CloudTech,Exciting internship opportunity for DevOps Engineer at CloudTech. Work on cutting-edge projects and gain valuable industry experience.,"['SQL', 'Scikit-learn', 'Graphic Design', 'Kubernetes', 'Matplotlib']",['Critical Thinking'],Hyderabad,2 months,8000,6.0,Intermediate,Information Technology
INT010,Full Stack Developer,CloudTech,Exciting internship opportunity for Backend Developer at Tech Corp. Work on cutting-edge projects and gain valuable industry experience.,"['UI/UX Design', 'Java']","['JavaScript', 'Figma', 'Scrum']",Bangalore,3 months,5000,6.0,Beginner,Any
